index,id,Date,City,Temperature
159,32367,08.06.2012,New York City,67.2
160,32368,09.06.2012,New York City,74.4
161,32369,10.06.2012,New York City,74.2
162,32370,11.06.2012,New York City,71.6
163,32371,12.06.2012,New York City,68.5
164,32372,13.06.2012,New York City,67.2
165,32373,14.06.2012,New York City,69.3
166,32374,15.06.2012,New York City,70.3
167,32375,16.06.2012,New York City,70.2
168,32376,17.06.2012,New York City,65.3
169,32377,18.06.2012,New York City,63.9
170,32378,19.06.2012,New York City,68.3
171,32379,20.06.2012,New York City,81.4
172,32380,21.06.2012,New York City,89.2
173,32381,22.06.2012,New York City,85.1
174,32382,23.06.2012,New York City,76.4
175,32383,24.06.2012,New York City,74.0
176,32384,25.06.2012,New York City,71.8
177,32385,26.06.2012,New York City,66.5
178,32386,27.06.2012,New York City,73.5
179,32387,28.06.2012,New York City,79.5
180,32388,29.06.2012,New York City,85.7
181,32389,30.06.2012,New York City,88.5
182,32390,01.07.2012,New York City,86.7
183,32391,02.07.2012,New York City,81.7
184,32392,03.07.2012,New York City,81.4
185,32393,04.07.2012,New York City,83.4
186,32394,05.07.2012,New York City,87.8
187,32395,06.07.2012,New York City,82.2
188,32396,07.07.2012,New York City,86.2
189,32397,08.07.2012,New York City,82.8
190,32398,09.07.2012,New York City,79.7
191,32399,10.07.2012,New York City,77.7
192,32400,11.07.2012,New York City,78.1
193,32401,12.07.2012,New York City,78.8
194,32402,13.07.2012,New York City,80.9
195,32403,14.07.2012,New York City,80.7
196,32404,15.07.2012,New York City,81.4
197,32405,16.07.2012,New York City,81.0
198,32406,17.07.2012,New York City,87.2
199,32407,18.07.2012,New York City,89.0
200,32408,19.07.2012,New York City,75.3
201,32409,20.07.2012,New York City,69.2
202,32410,21.07.2012,New York City,69.3
203,32411,22.07.2012,New York City,74.8
204,32412,23.07.2012,New York City,77.4
205,32413,24.07.2012,New York City,83.1
206,32414,25.07.2012,New York City,78.2
207,32415,26.07.2012,New York City,81.4
208,32416,27.07.2012,New York City,80.3
209,32417,28.07.2012,New York City,76.4
210,32418,29.07.2012,New York City,72.7
211,32419,30.07.2012,New York City,74.6
212,32420,31.07.2012,New York City,74.0
213,32421,01.08.2012,New York City,75.2
214,32422,02.08.2012,New York City,79.1
215,32423,03.08.2012,New York City,83.4
216,32424,04.08.2012,New York City,83.4
217,32425,05.08.2012,New York City,83.4
218,32426,06.08.2012,New York City,80.2
219,32427,07.08.2012,New York City,77.3
220,32428,08.08.2012,New York City,79.8
221,32429,09.08.2012,New York City,81.2
222,32430,10.08.2012,New York City,79.2
223,32431,11.08.2012,New York City,80.8
224,32432,12.08.2012,New York City,81.0
225,32433,13.08.2012,New York City,79.1
226,32434,14.08.2012,New York City,78.9
227,32435,15.08.2012,New York City,76.2
228,32436,16.08.2012,New York City,75.6
229,32437,17.08.2012,New York City,81.3
230,32438,18.08.2012,New York City,72.7
231,32439,19.08.2012,New York City,72.0
